dateFixed,epi_week,no_of_cases,weekWithDay,delayedDate
2019-09-26,2019-W38,299,2019-W38-4,2019-10-10
2019-09-27,2019-W38,299,2019-W38-5,2019-10-11
2019-09-28,2019-W38,299,2019-W38-6,2019-10-12
2019-09-29,2019-W39,258,2019-W39-0,2019-10-13
2019-09-30,2019-W39,258,2019-W39-1,2019-10-14
2019-10-01,2019-W39,258,2019-W39-2,2019-10-15
2019-10-02,2019-W39,258,2019-W39-3,2019-10-16
2019-10-03,2019-W39,258,2019-W39-4,2019-10-17
2019-10-04,2019-W39,258,2019-W39-5,2019-10-18
2019-10-05,2019-W39,258,2019-W39-6,2019-10-19
2019-10-06,2019-W40,243,2019-W40-0,2019-10-20
2019-10-07,2019-W40,243,2019-W40-1,2019-10-21
2019-10-08,2019-W40,243,2019-W40-2,2019-10-22
2019-10-09,2019-W40,243,2019-W40-3,2019-10-23
2019-10-10,2019-W40,243,2019-W40-4,2019-10-24
2019-10-11,2019-W40,243,2019-W40-5,2019-10-25
2019-10-12,2019-W40,243,2019-W40-6,2019-10-26
2019-10-13,2019-W41,226,2019-W41-0,2019-10-27
2019-10-14,2019-W41,226,2019-W41-1,2019-10-28
2019-10-15,2019-W41,226,2019-W41-2,2019-10-29
2019-10-16,2019-W41,226,2019-W41-3,2019-10-30
2019-10-17,2019-W41,226,2019-W41-4,2019-10-31
2019-10-18,2019-W41,226,2019-W41-5,2019-11-01
2019-10-19,2019-W41,226,2019-W41-6,2019-11-02
2019-10-20,2019-W42,239,2019-W42-0,2019-11-03
2019-10-21,2019-W42,239,2019-W42-1,2019-11-04
2019-10-22,2019-W42,239,2019-W42-2,2019-11-05
2019-10-23,2019-W42,239,2019-W42-3,2019-11-06
2019-10-24,2019-W42,239,2019-W42-4,2019-11-07
2019-10-25,2019-W42,239,2019-W42-5,2019-11-08
2019-10-26,2019-W42,239,2019-W42-6,2019-11-09
2019-10-27,2019-W43,241,2019-W43-0,2019-11-10
2019-10-28,2019-W43,241,2019-W43-1,2019-11-11
2019-10-29,2019-W43,241,2019-W43-2,2019-11-12
2019-10-30,2019-W43,241,2019-W43-3,2019-11-13
2019-10-31,2019-W43,241,2019-W43-4,2019-11-14
2019-11-01,2019-W43,241,2019-W43-5,2019-11-15
2019-11-02,2019-W43,241,2019-W43-6,2019-11-16
2019-11-03,2019-W44,306,2019-W44-0,2019-11-17
2019-11-04,2019-W44,306,2019-W44-1,2019-11-18
2019-11-05,2019-W44,306,2019-W44-2,2019-11-19
2019-11-06,2019-W44,306,2019-W44-3,2019-11-20
2019-11-07,2019-W44,306,2019-W44-4,2019-11-21
2019-11-08,2019-W44,306,2019-W44-5,2019-11-22
2019-11-09,2019-W44,306,2019-W44-6,2019-11-23
2019-11-10,2019-W45,321,2019-W45-0,2019-11-24
2019-11-11,2019-W45,321,2019-W45-1,2019-11-25
2019-11-12,2019-W45,321,2019-W45-2,2019-11-26
2019-11-13,2019-W45,321,2019-W45-3,2019-11-27
2019-11-14,2019-W45,321,2019-W45-4,2019-11-28
2019-11-15,2019-W45,321,2019-W45-5,2019-11-29
2019-11-16,2019-W45,321,2019-W45-6,2019-11-30
2019-11-17,2019-W46,372,2019-W46-0,2019-12-01
2019-11-18,2019-W46,372,2019-W46-1,2019-12-02
2019-11-19,2019-W46,372,2019-W46-2,2019-12-03
2019-11-20,2019-W46,372,2019-W46-3,2019-12-04
2019-11-21,2019-W46,372,2019-W46-4,2019-12-05
2019-11-22,2019-W46,372,2019-W46-5,2019-12-06
2019-11-23,2019-W46,372,2019-W46-6,2019-12-07
2019-11-24,2019-W47,329,2019-W47-0,2019-12-08
2019-11-25,2019-W47,329,2019-W47-1,2019-12-09
2019-11-26,2019-W47,329,2019-W47-2,2019-12-10
2019-11-27,2019-W47,329,2019-W47-3,2019-12-11
2019-11-28,2019-W47,329,2019-W47-4,2019-12-12
2019-11-29,2019-W47,329,2019-W47-5,2019-12-13
2019-11-30,2019-W47,329,2019-W47-6,2019-12-14
2019-12-01,2019-W48,295,2019-W48-0,2019-12-15
2019-12-02,2019-W48,295,2019-W48-1,2019-12-16
2019-12-03,2019-W48,295,2019-W48-2,2019-12-17
2019-12-04,2019-W48,295,2019-W48-3,2019-12-18
2019-12-05,2019-W48,295,2019-W48-4,2019-12-19
2019-12-06,2019-W48,295,2019-W48-5,2019-12-20
2019-12-07,2019-W48,295,2019-W48-6,2019-12-21
2019-12-08,2019-W49,280,2019-W49-0,2019-12-22
2019-12-09,2019-W49,280,2019-W49-1,2019-12-23
2019-12-10,2019-W49,280,2019-W49-2,2019-12-24
2019-12-11,2019-W49,280,2019-W49-3,2019-12-25
2019-12-12,2019-W49,280,2019-W49-4,2019-12-26
2019-12-13,2019-W49,280,2019-W49-5,2019-12-27
2019-12-14,2019-W49,280,2019-W49-6,2019-12-28
2019-12-15,2019-W50,257,2019-W50-0,2019-12-29
2019-12-16,2019-W50,257,2019-W50-1,2019-12-30
2019-12-17,2019-W50,257,2019-W50-2,2019-12-31
2019-12-18,2019-W50,257,2019-W50-3,2020-01-01
2019-12-19,2019-W50,257,2019-W50-4,2020-01-02
2019-12-20,2019-W50,257,2019-W50-5,2020-01-03
2019-12-21,2019-W50,257,2019-W50-6,2020-01-04
2019-12-22,2019-W51,226,2019-W51-0,2020-01-05
2019-12-23,2019-W51,226,2019-W51-1,2020-01-06
2019-12-24,2019-W51,226,2019-W51-2,2020-01-07
2019-12-25,2019-W51,226,2019-W51-3,2020-01-08
2019-12-26,2019-W51,226,2019-W51-4,2020-01-09
2019-12-27,2019-W51,226,2019-W51-5,2020-01-10
2019-12-28,2019-W51,226,2019-W51-6,2020-01-11
2019-12-29,2019-W52,290,2019-W52-0,2020-01-12
2019-12-30,2019-W52,290,2019-W52-1,2020-01-13
2019-12-31,2019-W52,290,2019-W52-2,2020-01-14
2020-01-01,2019-W52,290,2019-W52-3,2020-01-15
2020-01-02,2019-W52,290,2019-W52-4,2020-01-16
2020-01-03,2019-W52,290,2019-W52-5,2020-01-17
2020-01-04,2019-W52,290,2019-W52-6,2020-01-18
2020-01-05,2020-W01,302,2020-W01-0,2020-01-19
2020-01-06,2020-W01,302,2020-W01-1,2020-01-20
2020-01-07,2020-W01,302,2020-W01-2,2020-01-21
2020-01-08,2020-W01,302,2020-W01-3,2020-01-22
2020-01-09,2020-W01,302,2020-W01-4,2020-01-23
2020-01-10,2020-W01,302,2020-W01-5,2020-01-24
2020-01-11,2020-W01,302,2020-W01-6,2020-01-25
2020-01-12,2020-W02,342,2020-W02-0,2020-01-26
2020-01-13,2020-W02,342,2020-W02-1,2020-01-27
2020-01-14,2020-W02,342,2020-W02-2,2020-01-28
2020-01-15,2020-W02,342,2020-W02-3,2020-01-29
2020-01-16,2020-W02,342,2020-W02-4,2020-01-30
2020-01-17,2020-W02,342,2020-W02-5,2020-01-31
2020-01-18,2020-W02,342,2020-W02-6,2020-02-01
2020-01-19,2020-W03,402,2020-W03-0,2020-02-02
2020-01-20,2020-W03,402,2020-W03-1,2020-02-03
2020-01-21,2020-W03,402,2020-W03-2,2020-02-04
2020-01-22,2020-W03,402,2020-W03-3,2020-02-05
2020-01-23,2020-W03,402,2020-W03-4,2020-02-06
2020-01-24,2020-W03,402,2020-W03-5,2020-02-07
2020-01-25,2020-W03,402,2020-W03-6,2020-02-08
2020-01-26,2020-W04,307,2020-W04-0,2020-02-09
2020-01-27,2020-W04,307,2020-W04-1,2020-02-10
2020-01-28,2020-W04,307,2020-W04-2,2020-02-11
2020-01-29,2020-W04,307,2020-W04-3,2020-02-12
2020-01-30,2020-W04,307,2020-W04-4,2020-02-13
2020-01-31,2020-W04,307,2020-W04-5,2020-02-14
2020-02-01,2020-W04,307,2020-W04-6,2020-02-15
2020-02-02,2020-W05,370,2020-W05-0,2020-02-16
2020-02-03,2020-W05,370,2020-W05-1,2020-02-17
2020-02-04,2020-W05,370,2020-W05-2,2020-02-18
2020-02-05,2020-W05,370,2020-W05-3,2020-02-19
2020-02-06,2020-W05,370,2020-W05-4,2020-02-20
2020-02-07,2020-W05,370,2020-W05-5,2020-02-21
2020-02-08,2020-W05,370,2020-W05-6,2020-02-22
2020-02-09,2020-W06,400,2020-W06-0,2020-02-23
2020-02-10,2020-W06,400,2020-W06-1,2020-02-24
2020-02-11,2020-W06,400,2020-W06-2,2020-02-25
2020-02-12,2020-W06,400,2020-W06-3,2020-02-26
2020-02-13,2020-W06,400,2020-W06-4,2020-02-27
2020-02-14,2020-W06,400,2020-W06-5,2020-02-28
2020-02-15,2020-W06,400,2020-W06-6,2020-02-29
2020-02-16,2020-W07,378,2020-W07-0,2020-03-01
2020-02-17,2020-W07,378,2020-W07-1,2020-03-02
2020-02-18,2020-W07,378,2020-W07-2,2020-03-03
2020-02-19,2020-W07,378,2020-W07-3,2020-03-04
2020-02-20,2020-W07,378,2020-W07-4,2020-03-05
2020-02-21,2020-W07,378,2020-W07-5,2020-03-06
2020-02-22,2020-W07,378,2020-W07-6,2020-03-07
2020-02-23,2020-W08,380,2020-W08-0,2020-03-08
2020-02-24,2020-W08,380,2020-W08-1,2020-03-09
2020-02-25,2020-W08,380,2020-W08-2,2020-03-10
2020-02-26,2020-W08,380,2020-W08-3,2020-03-11
2020-02-27,2020-W08,380,2020-W08-4,2020-03-12
2020-02-28,2020-W08,380,2020-W08-5,2020-03-13
2020-02-29,2020-W08,380,2020-W08-6,2020-03-14
2020-03-01,2020-W09,373,2020-W09-0,2020-03-15
2020-03-02,2020-W09,373,2020-W09-1,2020-03-16
2020-03-03,2020-W09,373,2020-W09-2,2020-03-17
2020-03-04,2020-W09,373,2020-W09-3,2020-03-18
2020-03-05,2020-W09,373,2020-W09-4,2020-03-19
2020-03-06,2020-W09,373,2020-W09-5,2020-03-20
2020-03-07,2020-W09,373,2020-W09-6,2020-03-21
2020-03-08,2020-W10,375,2020-W10-0,2020-03-22
2020-03-09,2020-W10,375,2020-W10-1,2020-03-23
2020-03-10,2020-W10,375,2020-W10-2,2020-03-24
2020-03-11,2020-W10,375,2020-W10-3,2020-03-25
2020-03-12,2020-W10,375,2020-W10-4,2020-03-26
2020-03-13,2020-W10,375,2020-W10-5,2020-03-27
2020-03-14,2020-W10,375,2020-W10-6,2020-03-28
2020-03-15,2020-W11,389,2020-W11-0,2020-03-29
2020-03-16,2020-W11,389,2020-W11-1,2020-03-30
2020-03-17,2020-W11,389,2020-W11-2,2020-03-31
2020-03-18,2020-W11,389,2020-W11-3,2020-04-01
2020-03-19,2020-W11,389,2020-W11-4,2020-04-02
2020-03-20,2020-W11,389,2020-W11-5,2020-04-03
2020-03-21,2020-W11,389,2020-W11-6,2020-04-04
2020-03-22,2020-W12,367,2020-W12-0,2020-04-05
2020-03-23,2020-W12,367,2020-W12-1,2020-04-06
2020-03-24,2020-W12,367,2020-W12-2,2020-04-07
2020-03-25,2020-W12,367,2020-W12-3,2020-04-08
2020-03-26,2020-W12,367,2020-W12-4,2020-04-09
2020-03-27,2020-W12,367,2020-W12-5,2020-04-10
2020-03-28,2020-W12,367,2020-W12-6,2020-04-11
2020-03-29,2020-W13,377,2020-W13-0,2020-04-12
2020-03-30,2020-W13,377,2020-W13-1,2020-04-13
2020-03-31,2020-W13,377,2020-W13-2,2020-04-14
2020-04-01,2020-W13,377,2020-W13-3,2020-04-15
2020-04-02,2020-W13,377,2020-W13-4,2020-04-16
2020-04-03,2020-W13,377,2020-W13-5,2020-04-17
2020-04-04,2020-W13,377,2020-W13-6,2020-04-18
2020-04-05,2020-W14,315,2020-W14-0,2020-04-19
2020-04-06,2020-W14,315,2020-W14-1,2020-04-20
2020-04-07,2020-W14,315,2020-W14-2,2020-04-21
2020-04-08,2020-W14,315,2020-W14-3,2020-04-22
2020-04-09,2020-W14,315,2020-W14-4,2020-04-23
2020-04-10,2020-W14,315,2020-W14-5,2020-04-24
2020-04-11,2020-W14,315,2020-W14-6,2020-04-25
2020-04-12,2020-W15,341,2020-W15-0,2020-04-26
2020-04-13,2020-W15,341,2020-W15-1,2020-04-27
2020-04-14,2020-W15,341,2020-W15-2,2020-04-28
2020-04-15,2020-W15,341,2020-W15-3,2020-04-29
2020-04-16,2020-W15,341,2020-W15-4,2020-04-30
2020-04-17,2020-W15,341,2020-W15-5,2020-05-01
2020-04-18,2020-W15,341,2020-W15-6,2020-05-02
2020-04-19,2020-W16,360,2020-W16-0,2020-05-03
2020-04-20,2020-W16,360,2020-W16-1,2020-05-04
2020-04-21,2020-W16,360,2020-W16-2,2020-05-05
2020-04-22,2020-W16,360,2020-W16-3,2020-05-06
2020-04-23,2020-W16,360,2020-W16-4,2020-05-07
2020-04-24,2020-W16,360,2020-W16-5,2020-05-08
2020-04-25,2020-W16,360,2020-W16-6,2020-05-09
2020-04-26,2020-W17,399,2020-W17-0,2020-05-10
2020-04-27,2020-W17,399,2020-W17-1,2020-05-11
2020-04-28,2020-W17,399,2020-W17-2,2020-05-12
2020-04-29,2020-W17,399,2020-W17-3,2020-05-13
2020-04-30,2020-W17,399,2020-W17-4,2020-05-14
2020-05-01,2020-W17,399,2020-W17-5,2020-05-15
2020-05-02,2020-W17,399,2020-W17-6,2020-05-16
2020-05-03,2020-W18,390,2020-W18-0,2020-05-17
2020-05-04,2020-W18,390,2020-W18-1,2020-05-18
2020-05-05,2020-W18,390,2020-W18-2,2020-05-19
2020-05-06,2020-W18,390,2020-W18-3,2020-05-20
2020-05-07,2020-W18,390,2020-W18-4,2020-05-21
2020-05-08,2020-W18,390,2020-W18-5,2020-05-22
2020-05-09,2020-W18,390,2020-W18-6,2020-05-23
2020-05-10,2020-W19,502,2020-W19-0,2020-05-24
2020-05-11,2020-W19,502,2020-W19-1,2020-05-25
2020-05-12,2020-W19,502,2020-W19-2,2020-05-26
2020-05-13,2020-W19,502,2020-W19-3,2020-05-27
2020-05-14,2020-W19,502,2020-W19-4,2020-05-28
2020-05-15,2020-W19,502,2020-W19-5,2020-05-29
2020-05-16,2020-W19,502,2020-W19-6,2020-05-30
2020-05-17,2020-W20,524,2020-W20-0,2020-05-31
2020-05-18,2020-W20,524,2020-W20-1,2020-06-01
2020-05-19,2020-W20,524,2020-W20-2,2020-06-02
2020-05-20,2020-W20,524,2020-W20-3,2020-06-03
2020-05-21,2020-W20,524,2020-W20-4,2020-06-04
2020-05-22,2020-W20,524,2020-W20-5,2020-06-05
2020-05-23,2020-W20,524,2020-W20-6,2020-06-06
2020-05-24,2020-W21,618,2020-W21-0,2020-06-07
2020-05-25,2020-W21,618,2020-W21-1,2020-06-08
2020-05-26,2020-W21,618,2020-W21-2,2020-06-09
2020-05-27,2020-W21,618,2020-W21-3,2020-06-10
2020-05-28,2020-W21,618,2020-W21-4,2020-06-11
2020-05-29,2020-W21,618,2020-W21-5,2020-06-12
2020-05-30,2020-W21,618,2020-W21-6,2020-06-13
2020-05-31,2020-W22,731,2020-W22-0,2020-06-14
2020-06-01,2020-W22,731,2020-W22-1,2020-06-15
2020-06-02,2020-W22,731,2020-W22-2,2020-06-16
2020-06-03,2020-W22,731,2020-W22-3,2020-06-17
2020-06-04,2020-W22,731,2020-W22-4,2020-06-18
2020-06-05,2020-W22,731,2020-W22-5,2020-06-19
2020-06-06,2020-W22,731,2020-W22-6,2020-06-20
2020-06-07,2020-W23,868,2020-W23-0,2020-06-21
2020-06-08,2020-W23,868,2020-W23-1,2020-06-22
2020-06-09,2020-W23,868,2020-W23-2,2020-06-23
2020-06-10,2020-W23,868,2020-W23-3,2020-06-24
2020-06-11,2020-W23,868,2020-W23-4,2020-06-25
2020-06-12,2020-W23,868,2020-W23-5,2020-06-26
2020-06-13,2020-W23,868,2020-W23-6,2020-06-27
2020-06-14,2020-W24,1151,2020-W24-0,2020-06-28
2020-06-15,2020-W24,1151,2020-W24-1,2020-06-29
2020-06-16,2020-W24,1151,2020-W24-2,2020-06-30
2020-06-17,2020-W24,1151,2020-W24-3,2020-07-01
2020-06-18,2020-W24,1151,2020-W24-4,2020-07-02
2020-06-19,2020-W24,1151,2020-W24-5,2020-07-03
2020-06-20,2020-W24,1151,2020-W24-6,2020-07-04
2020-06-21,2020-W25,1369,2020-W25-0,2020-07-05
2020-06-22,2020-W25,1369,2020-W25-1,2020-07-06
2020-06-23,2020-W25,1369,2020-W25-2,2020-07-07
2020-06-24,2020-W25,1369,2020-W25-3,2020-07-08
2020-06-25,2020-W25,1369,2020-W25-4,2020-07-09
2020-06-26,2020-W25,1369,2020-W25-5,2020-07-10
2020-06-27,2020-W25,1369,2020-W25-6,2020-07-11
2020-06-28,2020-W26,1460,2020-W26-0,2020-07-12
2020-06-29,2020-W26,1460,2020-W26-1,2020-07-13
2020-06-30,2020-W26,1460,2020-W26-2,2020-07-14
2020-07-01,2020-W26,1460,2020-W26-3,2020-07-15
2020-07-02,2020-W26,1460,2020-W26-4,2020-07-16
2020-07-03,2020-W26,1460,2020-W26-5,2020-07-17
2020-07-04,2020-W26,1460,2020-W26-6,2020-07-18
2020-07-05,2020-W27,1444,2020-W27-0,2020-07-19
2020-07-06,2020-W27,1444,2020-W27-1,2020-07-20
2020-07-07,2020-W27,1444,2020-W27-2,2020-07-21
2020-07-08,2020-W27,1444,2020-W27-3,2020-07-22
2020-07-09,2020-W27,1444,2020-W27-4,2020-07-23
2020-07-10,2020-W27,1444,2020-W27-5,2020-07-24
2020-07-11,2020-W27,1444,2020-W27-6,2020-07-25
2020-07-12,2020-W28,1665,2020-W28-0,2020-07-26
2020-07-13,2020-W28,1665,2020-W28-1,2020-07-27
2020-07-14,2020-W28,1665,2020-W28-2,2020-07-28
2020-07-15,2020-W28,1665,2020-W28-3,2020-07-29
2020-07-16,2020-W28,1665,2020-W28-4,2020-07-30
2020-07-17,2020-W28,1665,2020-W28-5,2020-07-31
2020-07-18,2020-W28,1665,2020-W28-6,2020-08-01
2020-07-19,2020-W29,1725,2020-W29-0,2020-08-02
2020-07-20,2020-W29,1725,2020-W29-1,2020-08-03
2020-07-21,2020-W29,1725,2020-W29-2,2020-08-04
2020-07-22,2020-W29,1725,2020-W29-3,2020-08-05
2020-07-23,2020-W29,1725,2020-W29-4,2020-08-06
2020-07-24,2020-W29,1725,2020-W29-5,2020-08-07
2020-07-25,2020-W29,1725,2020-W29-6,2020-08-08
2020-07-26,2020-W30,1791,2020-W30-0,2020-08-09
2020-07-27,2020-W30,1791,2020-W30-1,2020-08-10
2020-07-28,2020-W30,1791,2020-W30-2,2020-08-11
2020-07-29,2020-W30,1791,2020-W30-3,2020-08-12
2020-07-30,2020-W30,1791,2020-W30-4,2020-08-13
2020-07-31,2020-W30,1791,2020-W30-5,2020-08-14
2020-08-01,2020-W30,1791,2020-W30-6,2020-08-15
2020-08-02,2020-W31,1376,2020-W31-0,2020-08-16
2020-08-03,2020-W31,1376,2020-W31-1,2020-08-17
2020-08-04,2020-W31,1376,2020-W31-2,2020-08-18
2020-08-05,2020-W31,1376,2020-W31-3,2020-08-19
2020-08-06,2020-W31,1376,2020-W31-4,2020-08-20
2020-08-07,2020-W31,1376,2020-W31-5,2020-08-21
2020-08-08,2020-W31,1376,2020-W31-6,2020-08-22
2020-08-09,2020-W32,1667,2020-W32-0,2020-08-23
2020-08-10,2020-W32,1667,2020-W32-1,2020-08-24
2020-08-11,2020-W32,1667,2020-W32-2,2020-08-25
2020-08-12,2020-W32,1667,2020-W32-3,2020-08-26
2020-08-13,2020-W32,1667,2020-W32-4,2020-08-27
2020-08-14,2020-W32,1667,2020-W32-5,2020-08-28
2020-08-15,2020-W32,1667,2020-W32-6,2020-08-29
2020-08-16,2020-W33,1336,2020-W33-0,2020-08-30
2020-08-17,2020-W33,1336,2020-W33-1,2020-08-31
2020-08-18,2020-W33,1336,2020-W33-2,2020-09-01
2020-08-19,2020-W33,1336,2020-W33-3,2020-09-02
2020-08-20,2020-W33,1336,2020-W33-4,2020-09-03
2020-08-21,2020-W33,1336,2020-W33-5,2020-09-04
2020-08-22,2020-W33,1336,2020-W33-6,2020-09-05
2020-08-23,2020-W34,1285,2020-W34-0,2020-09-06
2020-08-24,2020-W34,1285,2020-W34-1,2020-09-07
2020-08-25,2020-W34,1285,2020-W34-2,2020-09-08
2020-08-26,2020-W34,1285,2020-W34-3,2020-09-09
2020-08-27,2020-W34,1285,2020-W34-4,2020-09-10
2020-08-28,2020-W34,1285,2020-W34-5,2020-09-11
2020-08-29,2020-W34,1285,2020-W34-6,2020-09-12
2020-08-30,2020-W35,1153,2020-W35-0,2020-09-13
2020-08-31,2020-W35,1153,2020-W35-1,2020-09-14
2020-09-01,2020-W35,1153,2020-W35-2,2020-09-15
2020-09-02,2020-W35,1153,2020-W35-3,2020-09-16
2020-09-03,2020-W35,1153,2020-W35-4,2020-09-17
2020-09-04,2020-W35,1153,2020-W35-5,2020-09-18
2020-09-05,2020-W35,1153,2020-W35-6,2020-09-19
2020-09-06,2020-W36,937,2020-W36-0,2020-09-20
2020-09-07,2020-W36,937,2020-W36-1,2020-09-21
2020-09-08,2020-W36,937,2020-W36-2,2020-09-22
2020-09-09,2020-W36,937,2020-W36-3,2020-09-23
2020-09-10,2020-W36,937,2020-W36-4,2020-09-24
2020-09-11,2020-W36,937,2020-W36-5,2020-09-25
2020-09-12,2020-W36,937,2020-W36-6,2020-09-26
2020-09-13,2020-W37,725,2020-W37-0,2020-09-27
2020-09-14,2020-W37,725,2020-W37-1,2020-09-28
2020-09-15,2020-W37,725,2020-W37-2,2020-09-29
2020-09-16,2020-W37,725,2020-W37-3,2020-09-30
2020-09-17,2020-W37,725,2020-W37-4,2020-10-01
2020-09-18,2020-W37,725,2020-W37-5,2020-10-02
2020-09-19,2020-W37,725,2020-W37-6,2020-10-03
2020-09-20,2020-W38,671,2020-W38-0,2020-10-04
2020-09-21,2020-W38,671,2020-W38-1,2020-10-05
2020-09-22,2020-W38,671,2020-W38-2,2020-10-06
2020-09-23,2020-W38,671,2020-W38-3,2020-10-07
2020-09-24,2020-W38,671,2020-W38-4,2020-10-08
2020-09-25,2020-W38,671,2020-W38-5,2020-10-09
2020-09-26,2020-W38,671,2020-W38-6,2020-10-10
2020-09-27,2020-W39,590,2020-W39-0,2020-10-11
2020-09-28,2020-W39,590,2020-W39-1,2020-10-12
2020-09-29,2020-W39,590,2020-W39-2,2020-10-13
2020-09-30,2020-W39,590,2020-W39-3,2020-10-14
2020-10-01,2020-W39,590,2020-W39-4,2020-10-15
2020-10-02,2020-W39,590,2020-W39-5,2020-10-16
2020-10-03,2020-W39,590,2020-W39-6,2020-10-17
2020-10-04,2020-W40,605,2020-W40-0,2020-10-18
2020-10-05,2020-W40,605,2020-W40-1,2020-10-19
2020-10-06,2020-W40,605,2020-W40-2,2020-10-20
2020-10-07,2020-W40,605,2020-W40-3,2020-10-21
2020-10-08,2020-W40,605,2020-W40-4,2020-10-22
2020-10-09,2020-W40,605,2020-W40-5,2020-10-23
2020-10-10,2020-W40,605,2020-W40-6,2020-10-24
2020-10-11,2020-W41,528,2020-W41-0,2020-10-25
2020-10-12,2020-W41,528,2020-W41-1,2020-10-26
2020-10-13,2020-W41,528,2020-W41-2,2020-10-27
2020-10-14,2020-W41,528,2020-W41-3,2020-10-28
2020-10-15,2020-W41,528,2020-W41-4,2020-10-29
2020-10-16,2020-W41,528,2020-W41-5,2020-10-30
2020-10-17,2020-W41,528,2020-W41-6,2020-10-31
2020-10-18,2020-W42,591,2020-W42-0,2020-11-01
2020-10-19,2020-W42,591,2020-W42-1,2020-11-02
2020-10-20,2020-W42,591,2020-W42-2,2020-11-03
2020-10-21,2020-W42,591,2020-W42-3,2020-11-04
2020-10-22,2020-W42,591,2020-W42-4,2020-11-05
2020-10-23,2020-W42,591,2020-W42-5,2020-11-06
2020-10-24,2020-W42,591,2020-W42-6,2020-11-07
2020-10-25,2020-W43,563,2020-W43-0,2020-11-08
2020-10-26,2020-W43,563,2020-W43-1,2020-11-09
2020-10-27,2020-W43,563,2020-W43-2,2020-11-10
2020-10-28,2020-W43,563,2020-W43-3,2020-11-11
2020-10-29,2020-W43,563,2020-W43-4,2020-11-12
2020-10-30,2020-W43,563,2020-W43-5,2020-11-13
2020-10-31,2020-W43,563,2020-W43-6,2020-11-14
2020-11-01,2020-W44,440,2020-W44-0,2020-11-15
2020-11-02,2020-W44,440,2020-W44-1,2020-11-16
2020-11-03,2020-W44,440,2020-W44-2,2020-11-17
2020-11-04,2020-W44,440,2020-W44-3,2020-11-18
2020-11-05,2020-W44,440,2020-W44-4,2020-11-19
2020-11-06,2020-W44,440,2020-W44-5,2020-11-20
2020-11-07,2020-W44,440,2020-W44-6,2020-11-21
2020-11-08,2020-W45,408,2020-W45-0,2020-11-22
2020-11-09,2020-W45,408,2020-W45-1,2020-11-23
2020-11-10,2020-W45,408,2020-W45-2,2020-11-24
2020-11-11,2020-W45,408,2020-W45-3,2020-11-25
2020-11-12,2020-W45,408,2020-W45-4,2020-11-26
2020-11-13,2020-W45,408,2020-W45-5,2020-11-27
2020-11-14,2020-W45,408,2020-W45-6,2020-11-28
2020-11-15,2020-W46,354,2020-W46-0,2020-11-29
2020-11-16,2020-W46,354,2020-W46-1,2020-11-30
2020-11-17,2020-W46,354,2020-W46-2,2020-12-01
2020-11-18,2020-W46,354,2020-W46-3,2020-12-02
2020-11-19,2020-W46,354,2020-W46-4,2020-12-03
2020-11-20,2020-W46,354,2020-W46-5,2020-12-04
2020-11-21,2020-W46,354,2020-W46-6,2020-12-05
2020-11-22,2020-W47,258,2020-W47-0,2020-12-06
2020-11-23,2020-W47,258,2020-W47-1,2020-12-07
2020-11-24,2020-W47,258,2020-W47-2,2020-12-08
2020-11-25,2020-W47,258,2020-W47-3,2020-12-09
2020-11-26,2020-W47,258,2020-W47-4,2020-12-10
2020-11-27,2020-W47,258,2020-W47-5,2020-12-11
2020-11-28,2020-W47,258,2020-W47-6,2020-12-12
2020-11-29,2020-W48,279,2020-W48-0,2020-12-13
2020-11-30,2020-W48,279,2020-W48-1,2020-12-14
2020-12-01,2020-W48,279,2020-W48-2,2020-12-15
2020-12-02,2020-W48,279,2020-W48-3,2020-12-16
2020-12-03,2020-W48,279,2020-W48-4,2020-12-17
2020-12-04,2020-W48,279,2020-W48-5,2020-12-18
2020-12-05,2020-W48,279,2020-W48-6,2020-12-19
2020-12-06,2020-W49,228,2020-W49-0,2020-12-20
2020-12-07,2020-W49,228,2020-W49-1,2020-12-21
2020-12-08,2020-W49,228,2020-W49-2,2020-12-22
2020-12-09,2020-W49,228,2020-W49-3,2020-12-23
2020-12-10,2020-W49,228,2020-W49-4,2020-12-24
2020-12-11,2020-W49,228,2020-W49-5,2020-12-25
2020-12-12,2020-W49,228,2020-W49-6,2020-12-26
2020-12-13,2020-W50,227,2020-W50-0,2020-12-27
2020-12-14,2020-W50,227,2020-W50-1,2020-12-28
2020-12-15,2020-W50,227,2020-W50-2,2020-12-29
2020-12-16,2020-W50,227,2020-W50-3,2020-12-30
2020-12-17,2020-W50,227,2020-W50-4,2020-12-31
2020-12-18,2020-W50,227,2020-W50-5,2021-01-01
2020-12-19,2020-W50,227,2020-W50-6,2021-01-02
2020-12-20,2020-W51,236,2020-W51-0,2021-01-03
2020-12-21,2020-W51,236,2020-W51-1,2021-01-04
2020-12-22,2020-W51,236,2020-W51-2,2021-01-05
2020-12-23,2020-W51,236,2020-W51-3,2021-01-06
2020-12-24,2020-W51,236,2020-W51-4,2021-01-07
2020-12-25,2020-W51,236,2020-W51-5,2021-01-08
2020-12-26,2020-W51,236,2020-W51-6,2021-01-09
2020-12-27,2020-W52,196,2020-W52-0,2021-01-10
2020-12-28,2020-W52,196,2020-W52-1,2021-01-11
2020-12-29,2020-W52,196,2020-W52-2,2021-01-12
2020-12-30,2020-W52,196,2020-W52-3,2021-01-13
