,dateFixed,no_of_cases,delayedDate,rainfall,temperature,fixedDate
74,2014-03-31,224,2014-03-31,0.0,28.833333333333332,2014-03-31
75,2014-04-01,224,2014-04-01,1.4000000000000001,28.366666666666664,2014-04-01
76,2014-04-02,224,2014-04-02,2.6,28.766666666666666,2014-04-02
77,2014-04-03,224,2014-04-03,0.0,29.400000000000002,2014-04-03
78,2014-04-04,224,2014-04-04,0.06666666666666667,28.366666666666664,2014-04-04
79,2014-04-05,224,2014-04-05,27.799999999999997,26.46666666666667,2014-04-05
80,2014-04-06,210,2014-04-06,0.26666666666666666,28.366666666666664,2014-04-06
81,2014-04-07,210,2014-04-07,3.3333333333333335,28.833333333333332,2014-04-07
82,2014-04-08,210,2014-04-08,2.4,27.933333333333334,2014-04-08
83,2014-04-09,210,2014-04-09,4.066666666666667,27.833333333333332,2014-04-09
84,2014-04-10,210,2014-04-10,3.6,27.899999999999995,2014-04-10
85,2014-04-11,210,2014-04-11,5.666666666666667,27.833333333333332,2014-04-11
86,2014-04-12,210,2014-04-12,5.3999999999999995,26.96666666666667,2014-04-12
87,2014-04-13,225,2014-04-13,1.8,28.433333333333334,2014-04-13
88,2014-04-14,225,2014-04-14,4.0,28.333333333333332,2014-04-14
89,2014-04-15,225,2014-04-15,0.13333333333333333,28.46666666666667,2014-04-15
90,2014-04-16,225,2014-04-16,7.133333333333333,28.400000000000002,2014-04-16
91,2014-04-17,225,2014-04-17,11.066666666666668,28.233333333333334,2014-04-17
92,2014-04-18,225,2014-04-18,2.266666666666667,28.0,2014-04-18
93,2014-04-19,225,2014-04-19,0.0,28.899999999999995,2014-04-19
94,2014-04-20,240,2014-04-20,0.3333333333333333,28.133333333333336,2014-04-20
95,2014-04-21,240,2014-04-21,3.733333333333333,26.86666666666667,2014-04-21
96,2014-04-22,240,2014-04-22,6.8,27.766666666666666,2014-04-22
97,2014-04-23,240,2014-04-23,2.733333333333333,28.366666666666664,2014-04-23
98,2014-04-24,240,2014-04-24,6.533333333333334,28.3,2014-04-24
99,2014-04-25,240,2014-04-25,6.6000000000000005,28.5,2014-04-25
100,2014-04-26,240,2014-04-26,0.0,28.833333333333332,2014-04-26
101,2014-04-27,244,2014-04-27,1.3333333333333333,28.53333333333333,2014-04-27
102,2014-04-28,244,2014-04-28,2.3333333333333335,28.766666666666666,2014-04-28
103,2014-04-29,244,2014-04-29,10.933333333333332,28.46666666666667,2014-04-29
104,2014-04-30,244,2014-04-30,4.466666666666667,28.5,2014-04-30
105,2014-05-01,244,2014-05-01,1.2,28.399999999999995,2014-05-01
106,2014-05-02,244,2014-05-02,0.0,29.666666666666668,2014-05-02
